sigma,error_rate,time
0,0,0.043981
0.1,0,0.0423717
0.2,0,0.0457919
0.3,0,0.0483755
0.4,0,0.0410671
0.5,0,0.0420976
0.6,0.0002,0.0438656
0.7,0.0031,0.0412722
0.8,0.014,0.0415757
0.9,0.0345,0.0433938
1,0.0762,0.0422106
1.1,0.139,0.0425484
1.2,0.2137,0.0421911
1.3,0.2841,0.0420732
1.4,0.3607,0.0419671
1.5,0.4267,0.0442684
1.6,0.4856,0.0473368
1.7,0.5463,0.0444342
1.8,0.5879,0.0430553
1.9,0.6377,0.0414142
