sigma,error_rate,time
0,0,0.00561977
0.1,0,0.00554791
0.2,0,0.00578981
0.3,0,0.00559862
0.4,0,0.00562957
0.5,0,0.00559069
0.6,0,0.005707
0.7,0,0.00560093
0.8,0,0.00556547
0.9,0.0016,0.00648556
1,0.0064,0.00553494
1.1,0.012,0.00563694
1.2,0.0228,0.00589014
1.3,0.0411,0.00560088
1.4,0.0591,0.00554204
1.5,0.0803,0.00571224
1.6,0.11,0.00561234
1.7,0.1352,0.00563057
1.8,0.1657,0.00559786
1.9,0.1837,0.00578279
