sigma,error_rate,time
0,0,0.00329238
0.1,0,0.003273
0.2,0,0.00332942
0.3,0,0.00344791
0.4,0,0.00399775
0.5,0,0.00323863
0.6,0,0.00325053
0.7,0,0.00329404
0.8,0,0.00324068
0.9,0,0.00333081
1,0,0.00333167
1.1,0,0.00329712
1.2,0,0.00325998
1.3,0.0002,0.00342917
1.4,0.0012,0.00324552
1.5,0.0029,0.00325423
1.6,0.0028,0.00336974
1.7,0.0045,0.00324101
1.8,0.006,0.00323211
1.9,0.0088,0.00330016
