sigma,error_rate,time
0,0,0.0246823
0.1,0,0.023102
0.2,0,0.0240466
0.3,0,0.0224815
0.4,0,0.0225753
0.5,0,0.0228455
0.6,0,0.0227543
0.7,0.0008,0.023044
0.8,0.0041,0.0230201
0.9,0.0152,0.0226987
1,0.0376,0.022968
1.1,0.0708,0.0225479
1.2,0.1213,0.0229471
1.3,0.1808,0.0234519
1.4,0.245,0.0234485
1.5,0.2993,0.0234525
1.6,0.3674,0.0229435
1.7,0.4142,0.0230094
1.8,0.4635,0.0226981
1.9,0.5169,0.0223963
