sigma,error_rate,time
0,0,0.359319
0.1,0,0.357776
0.2,0,0.35988
0.3,0,0.35671
0.4,0,0.361023
0.5,0,0.359531
0.6,0.0009,0.356447
0.7,0.0111,0.359352
0.8,0.0441,0.359145
0.9,0.1084,0.357441
1,0.192,0.358127
1.1,0.2973,0.362844
1.2,0.3941,0.356419
1.3,0.4836,0.357127
1.4,0.5551,0.356286
1.5,0.6391,0.356016
1.6,0.6877,0.357014
1.7,0.729,0.358756
1.8,0.7696,0.357215
1.9,0.7988,0.355329
