sigma,error_rate,time
0,0,0.862455
0.1,0,0.869666
0.2,0,0.870067
0.3,0,0.871551
0.4,0,0.867119
0.5,0,0.87004
0.6,0.0022,0.867139
0.7,0.0152,0.866952
0.8,0.0666,0.866952
0.9,0.1494,0.39967
1,0.2626,0.876586
1.1,0.3685,0.878593
1.2,0.4859,0.87218
1.3,0.5756,0.867798
1.4,0.661,0.865723
1.5,0.7103,0.864769
1.6,0.7646,0.86694
1.7,0.8089,0.865274
1.8,0.8398,0.870956
1.9,0.8587,0.865408
