sigma,error_rate,time
0,0,0.0131605
0.1,0,0.0134298
0.2,0,0.0130257
0.3,0,0.0129991
0.4,0,0.013504
0.5,0,0.013346
0.6,0,0.0133034
0.7,0.0002,0.0129588
0.8,0.0019,0.0133098
0.9,0.0077,0.0140295
1,0.0191,0.0133414
1.1,0.0381,0.0135277
1.2,0.0727,0.0131374
1.3,0.1201,0.0135458
1.4,0.1677,0.0137506
1.5,0.211,0.0138849
1.6,0.2596,0.0130114
1.7,0.3064,0.0130601
1.8,0.3674,0.0135962
1.9,0.4091,0.0139454
