sigma,error_rate,time
0,0,4.09413
0.1,0,4.10867
0.2,0,4.08516
0.3,0,3.65319
0.4,0.0001,4.08155
0.5,0.0008,4.10953
0.6,0.0158,4.08667
0.7,0.077,4.10657
0.8,0.1852,4.10871
0.9,0.3253,4.09012
1,0.465,4.0992
1.1,0.5826,3.62435
1.2,0.6927,4.0849
1.3,0.7495,4.12567
1.4,0.8178,4.13733
1.5,0.853,4.09406
1.6,0.8843,4.0791
1.7,0.9098,4.08733
1.8,0.9304,4.08012
1.9,0.9392,3.55943
