sigma,error_rate,time
0,0,0.00408099
0.1,0,0.00441387
0.2,0,0.005167
0.3,0,0.00409596
0.4,0,0.00415617
0.5,0,0.00426223
0.6,0,0.00417929
0.7,0,0.00405446
0.8,0,0.00407415
0.9,0.0002,0.00459698
1,0.0018,0.00408891
1.1,0.004,0.00420557
1.2,0.0089,0.00408808
1.3,0.0154,0.00416447
1.4,0.0258,0.00415673
1.5,0.0365,0.00419077
1.6,0.0463,0.00406834
1.7,0.0634,0.00420198
1.8,0.0749,0.00408479
1.9,0.0947,0.004041
