sigma,error_rate,time
0,0,1.99324
0.1,0,1.99198
0.2,0,1.99662
0.3,0,2.00361
0.4,0,1.99975
0.5,0.0003,1.9998
0.6,0.0062,2.00364
0.7,0.0404,2.00484
0.8,0.1176,2.00266
0.9,0.2239,2.0033
1,0.3665,1.98971
1.1,0.4956,1.51782
1.2,0.5867,1.98726
1.3,0.6733,1.99332
1.4,0.7433,1.99623
1.5,0.7949,1.99329
1.6,0.8379,2.02277
1.7,0.8646,2.02419
1.8,0.8886,2.00438
1.9,0.9087,2.0149
