sigma,error_rate,time
0,0,0.0948941
0.1,0,0.0939311
0.2,0,0.095942
0.3,0,0.0978731
0.4,0,0.0987419
0.5,0,0.100438
0.6,0.0006,0.0993916
0.7,0.0048,0.0914081
0.8,0.0248,0.0943841
0.9,0.0654,0.0905296
1,0.137,0.0888152
1.1,0.2058,0.0916262
1.2,0.3081,0.0900984
1.3,0.3822,0.0903664
1.4,0.4605,0.0939307
1.5,0.5442,0.0955941
1.6,0.6008,0.0871058
1.7,0.6507,0.0893378
1.8,0.6866,0.0915713
1.9,0.7235,0.0913901
